code,name
004,Afghanistan
008,Albania
012,Algeria
024,Angola
032,Argentina
051,Armenia
533,Aruba
036,Australia
040,Austria
031,Azerbaijan
044,Bahamas
048,Bahrain
050,Bangladesh
112,Belarus
056,Belgium
060,Bermuda
068,Bolivia (Plurinational State of)
072,Botswana
076,Brazil
096,Brunei Darussalam
100,Bulgaria
108,Burundi
132,Cabo Verde
116,Cambodia
120,Cameroon
124,Canada
152,Chile
156,China
446,"China, Macao SAR"
158,"China, Taiwan Province"
170,Colombia
178,Congo
184,Cook Islands
191,Croatia
531,Curaçao
196,Cyprus
203,Czechia
208,Denmark
214,Dominican Republic
218,Ecuador
818,Egypt
232,Eritrea
233,Estonia
231,Ethiopia
242,Fiji
246,Finland
250,France
270,Gambia
268,Georgia
276,Germany
288,Ghana
300,Greece
320,Guatemala
332,Haiti
348,Hungary
352,Iceland
356,India
360,Indonesia
364,Iran (Islamic Republic of)
368,Iraq
372,Ireland
376,Israel
380,Italy
392,Japan
400,Jordan
398,Kazakhstan
404,Kenya
414,Kuwait
417,Kyrgyzstan
418,Lao People's Dem Rep
428,Latvia
422,Lebanon
426,Lesotho
440,Lithuania
442,Luxembourg
450,Madagascar
454,Malawi
458,Malaysia
462,Maldives
470,Malta
480,Mauritius
484,Mexico
496,Mongolia
504,Morocco
516,Namibia
524,Nepal
528,Netherlands
530,Netherlands Antilles
554,New Zealand
562,Niger
566,Nigeria
807,North Macedonia
578,Norway
512,Oman
586,Pakistan
590,Panama
598,Papua New Guinea
600,Paraguay
604,Peru
608,Philippines
616,Poland
620,Portugal
634,Qatar
410,Republic of Korea
498,Republic of Moldova
642,Romania
643,Russian Federation
646,Rwanda
682,Saudi Arabia
686,Senegal
688,Serbia
702,Singapore
703,Slovakia
705,Slovenia
710,South Africa
724,Spain
144,Sri Lanka
275,State of Palestine
736,Sudan (including South Sudan)
740,Suriname
752,Sweden
756,Switzerland
760,Syrian Arab Republic
762,Tajikistan
764,Thailand
776,Tonga
780,Trinidad and Tobago
788,Tunisia
792,Turkey
795,Turkmenistan
800,Uganda
804,Ukraine
784,United Arab Emirates
826,United Kingdom
834,United Republic of Tanzania
840,United States of America
858,Uruguay
704,Viet Nam
887,Yemen
716,Zimbabwe
